trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
340,False,"{'a': 0.99, 'e': 0.03280697314869742}",35,21,30.062974539909572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.99, 'e': 0.03247890341721044}",20,3,28.376487511022525,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.99, 'e': 0.03215411438303834}",25,17,17.084468592732755,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.99, 'e': 0.031832573239207955}",25,11,15.421090330663922,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.99, 'e': 0.031514247506815876}",20,14,10.168116854696644,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.99, 'e': 0.031199105031747717}",20,9,19.181218759754508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.99, 'e': 0.03088711398143024}",20,16,8.695134633420576,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.99, 'e': 0.030578242841615935}",20,6,-28.278930330585467,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
348,False,"{'a': 0.99, 'e': 0.030272460413199778}",35,17,34.01378709967807,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.99, 'e': 0.02996973580906778}",30,21,17.30399360770455,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.99, 'e': 0.0296700384509771}",25,11,22.77013672994272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.99, 'e': 0.02937333806646733}",30,16,-17.4726621370875,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
352,False,"{'a': 0.99, 'e': 0.029079604685802656}",30,9,36.02970621717651,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.99, 'e': 0.02878880863894463}",30,16,27.659970298024586,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.99, 'e': 0.02850092055255518}",25,14,22.05823067627519,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.99, 'e': 0.02821591134702963}",20,2,-10.711837734139904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
356,False,"{'a': 0.99, 'e': 0.027933752233559334}",25,10,26.740845489103382,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.99, 'e': 0.027654414711223742}",30,18,21.23002323105173,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.99, 'e': 0.027377870564111503}",20,7,23.037642366983317,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.99, 'e': 0.027104091858470385}",20,0,25.329189950727077,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
360,False,"{'a': 0.99, 'e': 0.026833050939885684}",25,10,22.403811634148912,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 0.99, 'e': 0.026564720430486827}",35,15,32.25456714036313,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.99, 'e': 0.026299073226181958}",20,13,10.145070017322002,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.99, 'e': 0.026036082493920136}",30,22,12.843941049577285,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.99, 'e': 0.025775721668980935}",20,15,8.099845914246238,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
