trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,2,35.891201330472285,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",25,9,10.25046085876068,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,0,27.018095605726153,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-35.72109006024046,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,22.649472939105944,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-57.032264262232886,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,29.250973925134062,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",25,0,27.53932829714528,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,3,-11.376768956877061,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,6.342475659188236,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,24.988220616757413,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,17.468294845911146,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-21.748225949181386,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,7,20.59038342406621,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",20,0,14.40095983140886,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,12,13.429467032075102,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",20,16,8.10553018710877,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,10,25.113731192114432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,29.98363107516477,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,22.659758068989728,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,9,5.040780765437282,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",25,0,-1.5518357981868118,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",25,0,27.02449941456763,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.689498432951747}",20,12,11.16136712482233,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",30,0,32.64043387919993,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",20,16,5.909456240966637,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",25,2,10.73735623967159,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,0,23.14242125928665,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,24.88434253614871,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,18.95764129583831,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,28.493902024313222,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,14,17.394640154014347,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,4,22.106071175680363,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,6,28.526767146821765,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,0,9.086490399525037,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",30,0,28.586602850914232,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,0,10.831979102706455,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,10,11.849876400638768,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",30,0,30.08054715964564,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,11,24.042028593910565,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,7,27.08597479054919,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,0,13.426360232257371,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",25,0,0.8483952731519098,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,-19.56824895712245,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",30,0,-16.23166495835846,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,0,26.392745872783333,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-49.51521451848258,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",25,0,25.91014093863923,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,19.91786383135861,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
